gender,age,height,weight,neck,chest,waist,hip,shoulder_length,back_length,arm_length,leg_length,shoulder_width,torso_length,hip_length,back_center_length,BMI,BMI_Class,Age_Group,gender_label
M,41,1667,70.8,372,998,894,983,167,447.0,587.0,999,395,672,240,482.0,0.25477807857744583,저체중,40대,1
M,41,1656,58.8,366,946,745,901,134,423.0,549.0,1007,379,658,260,446.0,0.2144157389904082,저체중,40대,1
M,40,1729,65.6,377,972,838,907,137,443.0,550.0,1039,380,680,248,461.0,0.21943901886673794,저체중,40대,1
F,42,1685,70.4,331,993,885,998,135,397.0,560.0,1070,361,668,261,453.0,0.24795498771671842,저체중,40대,0
F,42,1602,50.1,304,818,718,922,121,368.0,525.0000000000001,985,335,611,234,391.0,0.19521478301935316,저체중,40대,0
F,40,1642,52.2,329,839,711,894,126,378.0,562.0,1042,349,643,260,405.0,0.19360840067592325,저체중,40대,0
F,43,1589,54.1,287,867,737,928,113,377.0,527.0,982,332,615,239,428.0,0.21426412945197096,저체중,40대,0
F,40,1531,56.4,345,902,816,909,120,388.0,517.0,935,337,600,227,415.0,0.24061833793309698,저체중,40대,0
F,40,1538,51.2,300,875,770,913,132,368.0,539.0,940,355,590,233,420.0,0.2164498504297713,저체중,40대,0
F,40,1632,49.0,314,803,708,850,130,416.0,521.0000000000001,991,357,632,240,449.0,0.18397371203383314,저체중,40대,0
F,40,1651,56.5,315,872,799,923,136,398.0,565.0,1019,350,619,229,433.0,0.20727852106591782,저체중,40대,0
F,43,1745,52.7,304,842,684,918,148,431.0,582.0,1104,374,657,250,455.0,0.17306918662408355,저체중,40대,0
F,41,1532,52.8,320,876,808,920,129,395.0,500.0,930,344,617,243,466.0,0.2249657438526406,저체중,40대,0
F,44,1584,61.0,343,907,863,1000,130,399.0,548.0,970,363,632,253,466.0,0.2431193245587185,저체중,40대,0
F,42,1581,43.9,307,825,654,832,120,398.0,531.0,961,335,614,239,433.0,0.17563084077564017,저체중,40대,0
M,43,1715,73.3,373,1015,894,998,158,463.0,582.0,1027,402,697,258,490.0,0.24921588793784907,저체중,40대,1
M,41,1646,52.1,338,888,723,870,143,406.0,570.0,1019,371,640,247,448.0,0.1922994586087411,저체중,40대,1
M,44,1757,77.0,392,1045,854,1004,158,438.0,578.0,1088,410,680,262,464.0,0.24942914738314811,저체중,40대,1
M,41,1744,82.5,410,1035,972,993,134,443.0,580.0,1059,400,715,283,518.0,0.2712445290800437,저체중,40대,1
M,43,1698,84.2,396,1099,969,1020,144,440.0,571.0,1015,400,705,295,500.0,0.29203622081545394,저체중,40대,1
M,42,1669,59.8,356,900,751,888,149,454.0,525.0,991,394,715,281,499.0,0.21467847948761487,저체중,40대,1
M,40,1731,74.5,386,1049,862,964,144,442.0,557.0,1049,387,712,280,483.0,0.24863492750039135,저체중,40대,1
M,41,1713,69.0,388,1014,781,942,126,446.0,581.0,1048,388,689,265,501.0,0.2351442507741869,저체중,40대,1
F,42,1565,58.4,335,921,842,954,135,370.0,513.0,972,357,603,241,425.0,0.2384427727138176,저체중,40대,0
F,40,1672,73.8,341,1017,892,1036,152,410.0,540.0,1032,387,679,283,471.0,0.263987775005151,저체중,40대,0
F,40,1578,49.4,318,831,698,883,125,363.0,510.0,980,344,624,263,412.0,0.1983868817276847,저체중,40대,0
F,32,1561,47.0,315,819,680,869,144,373.0,517.0,972,357,606,241,414.0,0.1928821559792853,저체중,30대,0
F,32,1631,48.9,305,835,641,874,137,357.0,541.0,1034,347,595,248,412.0,0.18382346030935726,저체중,30대,0
F,42,1612,59.7,320,908,791,954,129,391.0,549.0,1000,352,645,259,442.0,0.22974404127850054,저체중,40대,0
F,30,1617,71.0,319,953,848,1039,143,335.0,571.0,1076,371,596,273,424.0,0.27154281063637004,저체중,30대,0
F,31,1669,83.3,374,985,886,1072,145,428.0,558.0,1048,388,680,273,475.0,0.29904209600866755,저체중,30대,0
F,30,1628,60.2,335,913,772,925,140,393.0,546.0,1014,357,626,249,457.0,0.22713689789856864,저체중,30대,0
F,31,1596,57.5,330,899,749,968,147,371.0,553.0,1004,361,614,251,427.0,0.22573664738286817,저체중,30대,0
F,30,1639,53.9,330,832,671,928,143,392.0,546.0000000000001,1024,382,651,261,454.0,0.2006461625397709,저체중,30대,0
F,43,1690,67.2,324,921,836,998,134,407.0,572.0,1034,367,669,272,466.0,0.23528587934596132,저체중,40대,0
F,31,1530,45.3,298,800,632,865,136,385.0,480.00000000000006,935,356,608,234,434.0,0.193515314622581,저체중,30대,0
F,30,1709,57.6,323,904,767,920,160,404.0,556.0000000000001,1068,390,658,254,457.0,0.19721427982035697,저체중,30대,0
F,31,1591,58.8,305,854,745,993,144,387.0,548.0,992,357,618,236,415.0,0.2322934514184715,저체중,30대,0
F,32,1685,69.2,362,896,818,1021,130,416.0,565.0,1057,349,679,285,477.0,0.24372848224427435,저체중,30대,0
F,36,1617,66.0,363,945,814,983,160,419.0,526.0,1006,394,655,248,478.0,0.2524200774929637,저체중,30대,0
F,26,1699,53.6,313,824,632,893,149,381.0,578.0,1080,375,641,262,430.0,0.18568551732643346,저체중,20대,0
F,32,1576,50.6,327,855,677,879,133,389.0,514.0,963,349,623,238,415.0,0.2037220747764694,저체중,30대,0
F,31,1677,73.7,355,969,874,1021,160,395.0,567.0,1067,407,658,282,455.0,0.2620603777154096,저체중,30대,0
F,39,1586,58.8,361,931,812,920,131,382.0,525.0,968,362,600,237,418.0,0.2337604098917228,저체중,30대,0
F,28,1622,61.6,315,915,711,955,130,374.0,552.0,1004,353,617,243,419.0,0.2341418321750408,저체중,20대,0
F,34,1565,45.2,296,794,649,827,128,364.0,508.0,956,349,620,257,435.0,0.18454817340179036,저체중,30대,0
F,36,1591,51.9,323,880,742,903,135,382.0,538.9999999999999,993,358,614,258,445.0,0.20503452599691616,저체중,30대,0
F,33,1648,49.3,305,839,640,892,143,387.0,527.0,1021,361,655,269,454.0,0.1815233528136488,저체중,30대,0
F,38,1657,58.8,320,871,716,930,133,387.0,551.0000000000001,1048,357,646,276,459.0,0.21415701715696359,저체중,30대,0
F,28,1660,60.4,322,895,680,950,139,396.0,528.0,1034,370,628,244,430.0,0.21919001306430536,저체중,20대,0
F,38,1606,53.5,319,825,692,918,134,376.0,528.0,1000,354,617,246,436.0,0.2074257648388903,저체중,30대,0
F,27,1540,50.5,315,826,703,915,122,373.0,525.0,962,328,590,230,406.0,0.2129364142351155,저체중,20대,0
F,31,1555,50.5,311,829,672,890,138,357.0,506.0000000000001,975,351,609,265,408.0,0.2088481301888938,저체중,30대,0
F,31,1693,65.2,340,888,749,1008,140,403.0,559.0,1057,368,682,288,443.0,0.2274750030440482,저체중,30대,0
F,25,1638,67.2,341,891,808,1013,132,383.0,557.0,1024,360,630,255,423.0,0.25046178892332743,저체중,20대,0
F,38,1608,53.4,311,848,658,940,139,405.0,523.0,987,363,642,245,433.0,0.20652335338234207,저체중,30대,0
F,25,1625,51.1,304,785,670,920,131,383.0,547.0,1014,337,624,251,438.0,0.1935147928994083,저체중,20대,0
F,27,1535,45.4,288,823,620,885,133,374.0,494.00000000000006,937,345,614,236,423.0,0.19268108945453002,저체중,20대,0
F,29,1610,51.4,294,831,689,908,135,357.0,547.0,1029,342,590,245,397.0,0.19829481887272865,저체중,20대,0
F,28,1605,48.6,317,792,640,883,138,359.0,510.00000000000006,1032,343,599,250,404.0,0.1886627653070137,저체중,20대,0
F,30,1546,49.3,312,818,678,915,145,347.0,535.0,980,361,572,223,380.0,0.20626613938402988,저체중,30대,0
F,36,1564,45.1,323,813,660,860,131,376.0,504.0,967,352,615,253,410.0,0.18437542925543396,저체중,30대,0
